x.,date,warehouse,itemcode,item.description,qty
23,2020-07-12T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
24,2020-07-11T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
25,2020-07-10T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
26,2020-07-09T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
27,2020-07-08T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
28,2020-07-07T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
29,2020-07-06T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
30,2020-07-05T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
31,2020-07-04T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
32,2020-07-03T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
33,2020-07-02T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
34,2020-07-01T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
35,2020-06-30T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
36,2020-06-29T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
37,2020-06-28T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
1,2020-06-27T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
2,2020-06-26T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
3,2020-06-25T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
4,2020-06-24T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
5,2020-06-23T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
6,2020-06-22T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
7,2020-06-21T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
8,2020-06-20T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
9,2020-06-19T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
10,2020-06-18T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
11,2020-06-17T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
12,2020-06-16T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
13,2020-06-15T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
14,2020-06-14T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
15,2020-06-13T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
16,2020-06-12T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
17,2020-06-11T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
18,2020-06-10T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
19,2020-06-09T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
20,2020-06-08T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
21,2020-06-07T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
22,2020-06-06T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
23,2020-06-05T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
24,2020-06-04T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
25,2020-06-03T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
26,2020-06-02T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
27,2020-06-01T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
28,2020-05-31T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
29,2020-05-30T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
30,2020-05-29T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
31,2020-05-28T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
32,2020-05-27T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
33,2020-05-26T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
34,2020-05-25T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
35,2020-05-24T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
36,2020-05-23T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
37,2020-05-22T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
1,2020-05-21T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
2,2020-05-20T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
3,2020-05-19T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
4,2020-05-18T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
5,2020-05-17T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
6,2020-05-16T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
7,2020-05-15T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
8,2020-05-14T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
9,2020-05-13T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
10,2020-05-12T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
11,2020-05-11T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
12,2020-05-10T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
13,2020-05-09T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
14,2020-05-08T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
15,2020-05-07T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
16,2020-05-06T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
17,2020-05-05T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
18,2020-05-04T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
19,2020-05-03T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
20,2020-05-02T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
21,2020-05-01T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
22,2020-04-30T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
23,2020-04-29T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
24,2020-04-28T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
25,2020-04-27T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
26,2020-04-26T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
27,2020-04-25T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
28,2020-04-24T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
29,2020-04-23T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
30,2020-04-22T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
31,2020-04-21T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
32,2020-04-20T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
33,2020-04-19T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
34,2020-04-18T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
35,2020-04-17T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
36,2020-04-16T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
37,2020-04-15T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
1,2020-04-14T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
2,2020-04-13T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
3,2020-04-12T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
4,2020-04-11T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
5,2020-04-10T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
6,2020-04-09T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
7,2020-04-08T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
8,2020-04-07T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
9,2020-04-06T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
10,2020-04-05T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
11,2020-04-04T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
12,2020-04-03T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
13,2020-04-02T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
14,2020-04-01T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
15,2020-03-31T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
16,2020-03-30T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
17,2020-03-29T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
18,2020-03-28T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
19,2020-03-27T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
20,2020-03-26T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
21,2020-03-25T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
22,2020-03-24T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
23,2020-03-23T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
24,2020-03-22T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
25,2020-03-21T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
26,2020-03-20T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
27,2020-03-19T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
28,2020-03-18T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
29,2020-03-17T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
30,2020-03-16T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
31,2020-03-15T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
32,2020-03-14T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
33,2020-03-13T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
34,2020-03-12T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
35,2020-03-11T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
36,2020-03-10T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
37,2020-03-09T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
1,2020-03-08T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
2,2020-03-07T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
3,2020-03-06T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
4,2020-03-05T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
5,2020-03-04T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
6,2020-03-03T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
7,2020-03-02T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
8,2020-03-01T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
9,2020-02-29T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
10,2020-02-28T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
11,2020-02-27T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
12,2020-02-26T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
13,2020-02-25T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
14,2020-02-24T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
15,2020-02-23T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
16,2020-02-22T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
17,2020-02-21T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
18,2020-02-20T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
19,2020-02-19T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
20,2020-02-18T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
21,2020-02-17T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
22,2020-02-16T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
23,2020-02-15T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
24,2020-02-14T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
25,2020-02-13T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
26,2020-02-12T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
27,2020-02-11T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
28,2020-02-10T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
29,2020-02-09T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
30,2020-02-08T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
31,2020-02-07T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
32,2020-02-06T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
33,2020-02-05T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
34,2020-02-04T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
35,2020-02-03T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
36,2020-02-02T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
37,2020-02-01T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
1,2020-01-31T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
2,2020-01-30T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
3,2020-01-29T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
4,2020-01-28T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
5,2020-01-27T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
6,2020-01-26T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
7,2020-01-25T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
8,2020-01-24T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
9,2020-01-23T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
10,2020-01-22T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
11,2020-01-21T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
12,2020-01-20T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
13,2020-01-19T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
14,2020-01-18T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
15,2020-01-17T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
16,2020-01-16T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
17,2020-01-15T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
18,2020-01-14T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
19,2020-01-13T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
20,2020-01-12T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
21,2020-01-11T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
22,2020-01-10T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
23,2020-01-09T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
24,2020-01-08T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
25,2020-01-07T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
26,2020-01-06T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
27,2020-01-05T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
28,2020-01-04T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
29,2020-01-03T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
30,2020-01-02T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
31,2020-01-01T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
32,2019-12-31T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
33,2019-12-30T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
34,2019-12-29T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
35,2019-12-28T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
36,2019-12-27T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
37,2019-12-26T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
1,2019-12-25T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
2,2019-12-24T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
3,2019-12-23T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
4,2019-12-22T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
5,2019-12-21T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
6,2019-12-20T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
7,2019-12-19T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
8,2019-12-18T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
9,2019-12-17T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
10,2019-12-16T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
